Instance;D_0;K_0;MismatchedOutliers;OurObj;YourObj
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;1;0;52.981261;52.9813
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;3;0;11.326225;11.3262
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;1;2;54.044916;40.6803
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;3;0;7.315752;6.82302
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;1;0;54.557611;54.5576
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;3;0;13.622899;13.6229
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;1;0;49.239114;49.2391
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;3;2;10.101086;9.73658
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;1;2;71.949116;67.9166
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;3;0;21.170638;21.1706
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;1;4;83.46233;61.737
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;3;2;24.880568;16.6598
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;1;0;54.879357;55.9495
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;3;0;16.431927;16.4319
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;1;0;45.747557;47.5373
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;3;2;12.130657;11.3285
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;1;2;61.877558;62.0704
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;3;0;21.778849;21.7788
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;1;2;58.429947;58.9515
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;3;0;15.660829;15.6608
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;1;0;34.486114;34.4861
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;3;0;9.177843;9.17784
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;8;1;0;30.805079;28.554
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;8;3;2;4.730918;4.08412
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;4;1;0;38.671386;38.6714
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;4;3;0;7.425799;7.4258
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;8;1;0;37.085706;36.9351
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;8;3;0;4.712091;4.55171
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;1;0;74.173378;74.1734
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;3;0;16.123981;16.124
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;1;0;70.141629;69.6844
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;3;0;9.408838;8.07837
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;1;0;49.348179;49.3482
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;3;0;11.690866;11.6909
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;1;0;46.577773;41.9256
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;3;0;11.266487;10.9057
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;1;0;52.925626;52.9256
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;3;2;10.886553;10.0449
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;1;2;50.766911;47.5785
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;3;0;8.949025;7.12682
