Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/toy_50_10_-1.dat;10;50;10.000000;340;402.449371;0.000000;-0.139085;0.000000~0.988428~1.138353~1.455047~0.000000~1.289231~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-1.dat;20;50;10.000000;435;256.715695;0.473677;-0.132530;1.426793~1.169254~0.000000~0.000000~0.886400~0.834193~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-1.dat;30;50;10.000000;519;624.177549;0.000000;0.656872;0.000000~0.000000~0.000000~0.000000~0.000000~0.809482~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.509566~0.000000~0.000000~0.000000~1.177725~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.511437
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10.000000;161;506.932783;0.000000;-0.179942;0.000000~0.000000~1.249717~0.779121~0.000000~0.000000~-0.564000~0.000000~0.299678
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10.000000;408;863.338279;0.000000;-1.090471;0.000000~0.000000~0.000000~0.026364~0.000000~1.462426~0.000000~0.000000~0.000000~1.685341~0.035534~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10.000000;443;665.469453;0.000000;-0.144326;0.000000~0.134556~0.523229~0.000000~0.000000~0.472613~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.360124~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10.000000;213;919.872689;0.000000;-0.237462;0.000000~0.000000~-0.685148~0.000000~-0.166826~0.250243~-0.327890~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10.000000;259;625.695699;0.000000;-0.544608;0.000000~-0.106350~0.000000~0.000000~0.000000~1.088879~0.000000~0.000000~0.000000~0.000000~-0.162500~0.000000~0.000000~0.000000~0.000000~0.668746~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-3.dat;30;50;10.000000;323;621.024927;0.000000;-1.166713;0.714396~0.000000~-0.490993~0.000000~0.000000~0.000000~0.000000~0.000000~0.739105~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.066322~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-4.dat;10;50;10.000000;326;546.113530;0.000000;0.625775;0.530807~0.000000~0.000000~0.000000~0.377890~0.000000~-1.255473~-0.106624~0.000000
../src/instance_set/generated_instances/toy_50_20_-4.dat;20;50;10.000000;404;826.026625;0.000000;-0.754003;0.127105~0.182884~0.000000~0.000000~0.735650~0.628483~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-4.dat;30;50;10.000000;467;812.148023;0.000000;-0.639498;0.000000~0.000000~0.000000~-0.730608~0.000000~0.000000~-0.037092~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.013010~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-5.dat;10;50;10.000000;168;611.261305;0.019566;-0.433384;0.000000~0.000000~0.092199~0.000000~1.170942~0.210577~0.000000~-0.034571~0.000000
../src/instance_set/generated_instances/toy_50_20_-5.dat;20;50;10.000000;292;834.552551;0.000000;-0.576456;0.000000~0.000000~0.000000~-0.802032~0.000000~0.903286~0.000000~0.000000~0.000000~-1.114661~0.000000~0.000000~0.000000~0.000000~-0.977533~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-5.dat;30;50;10.000000;475;607.978890;0.000000;-0.245202;0.267074~0.000000~0.000000~1.239415~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.844400~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.142905~0.000000~0.000000~0.000000~0.000000~0.000000
