Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/toy_50_10_-1.dat;10;50;10.000000;300005;265.600521;207.850442;-0.286967;0.000000~1.094721~0.851899~0.000000~1.240912~1.092379~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-1.dat;20;50;10.000000;300011;248.475502;146.093086;-0.109284;1.404682~1.222484~0.000000~0.000000~0.870014~0.806071~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-1.dat;30;50;10.000000;300004;294.164062;5.343651;0.065164;0.000000~0.000000~1.017390~1.527362~1.333774~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~1.131489~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10.000000;235131;352.101035;352.068859;-0.183491;0.000000~1.228492~0.806390~0.000000~1.146578~1.099683~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10.000000;98584;318.986938;318.965314;-0.191464;0.753989~0.731329~0.000000~0.000000~0.962610~0.922205~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10.000000;300004;290.780405;5.237223;-0.537773;0.843324~0.000000~0.949503~1.509635~0.899038~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10.000000;42275;380.827778;380.792677;0.403273;1.120559~0.000000~0.906560~0.000000~0.902590~1.017791~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10.000000;300004;314.354523;257.000518;-0.762552;0.268467~0.809011~0.000000~1.006856~0.000000~1.177951~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-3.dat;30;50;10.000000;300006;323.213401;4.676673;-0.812430;1.074090~1.483601~-0.634033~0.000000~0.928493~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-4.dat;10;50;10.000000;300005;322.971910;141.820751;-0.077594;0.000000~0.000000~1.027669~0.826640~1.116583~0.659687~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-4.dat;20;50;10.000000;291563;392.498174;392.459252;-0.592777;0.000000~0.000000~0.000000~0.294104~0.811531~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.455822~0.000000~0.000000~-0.954466~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-4.dat;30;50;10.000000;300005;442.342793;8.420794;-0.105469;0.472825~0.757861~0.000000~0.000000~0.587709~0.989277~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-5.dat;10;50;10.000000;49337;424.250668;424.219762;-0.224741;0.772067~0.000000~0.000000~0.439351~0.762394~0.479517~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-5.dat;20;50;10.000000;300005;511.998736;171.434866;0.453853;0.000000~-0.584010~0.000000~0.000000~0.963634~1.078716~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.976346~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-5.dat;30;50;10.000000;300004;238.209925;6.169933;0.177660;0.888746~0.000000~0.937782~0.000000~1.134513~0.803271~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
