Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;10;300005;421.199967;280.256263;-0.387304;0.918014~1.856033~1.922009~0.000000~2.018398~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;50;300004;421.199967;246.679406;-0.387304;0.918014~1.856033~1.922009~0.000000~2.018398~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;100;300007;421.199967;208.006849;-0.387304;0.918014~1.856033~1.922009~0.000000~2.018398~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;10;300005;350.389600;81.135306;-0.093888;0.838892~1.014401~0.914380~0.000000~0.000000~1.179980~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;50;300004;350.389600;27.832436;-0.093888;0.838892~1.014401~0.914380~0.000000~0.000000~1.179980~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;100;300004;350.389600;27.694798;-0.093888;0.838892~1.014401~0.914380~0.000000~0.000000~1.179980~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;10;300005;399.460993;34.088682;0.294692;1.095964~0.000000~1.262626~0.000000~1.123901~1.216010~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;50;300004;399.460993;36.721088;0.294692;1.095964~0.000000~1.262626~0.000000~1.123901~1.216010~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;100;300004;399.460993;28.661568;0.294692;1.095964~0.000000~1.262626~0.000000~1.123901~1.216010~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;10;300004;961.461694;14.695292;-0.014558;0.000000~0.784975~0.719555~0.000000~0.772552~0.814261~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;50;300005;961.461694;4.548413;-0.014558;0.000000~0.784975~0.719555~0.000000~0.772552~0.814261~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;100;300004;936.087897;4.891413;-0.447110;0.671870~0.000000~0.727690~0.693874~1.280707~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_20_-1.dat;20;100;10;300005;904.069759;0.895520;0.471564;0.833545~1.151354~0.000000~0.000000~0.800800~1.391297~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_20_-1.dat;20;100;50;300004;912.251875;1.729939;0.110431;0.000000~1.124144~1.080162~0.000000~0.998970~0.862761~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
