Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;10.000000;300003;338.728905;223.363716;-0.384571;0.923526~1.770337~1.827231~0.000000~1.982210~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;50.000000;300006;338.728905;181.037398;-0.384571;0.923526~1.770337~1.827231~0.000000~1.982210~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;100.000000;300004;340.659112;184.913880;0.018404;0.761729~0.000000~0.000000~1.717620~1.188910~1.510458~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;10.000000;300003;271.663295;17.087761;-0.187318;0.851293~1.032951~0.920754~0.000000~0.000000~1.241457~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;50.000000;300004;271.663295;8.425476;-0.187318;0.851293~1.032951~0.920754~0.000000~0.000000~1.241457~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;100.000000;300004;271.663295;16.381376;-0.187318;0.851293~1.032951~0.920754~0.000000~0.000000~1.241457~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;10.000000;300005;321.458441;26.437168;0.360298;1.119720~0.000000~1.288840~0.000000~1.142543~1.290120~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;50.000000;300004;321.458441;10.829098;0.360298;1.119720~0.000000~1.288840~0.000000~1.142543~1.290120~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;100.000000;300004;321.458441;30.017184;0.360298;1.119720~0.000000~1.288840~0.000000~1.142543~1.290120~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;10.000000;300004;793.935091;8.902832;-0.162435;0.000000~0.808964~0.732312~0.000000~0.775878~0.810076~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;50.000000;300005;770.621610;3.482702;-0.385050;0.672554~0.000000~0.729556~0.750367~1.318520~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;100.000000;300005;770.621610;3.451649;-0.385050;0.672554~0.000000~0.729556~0.750367~1.318520~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_20_-1.dat;20;100;10.000000;300005;738.694556;1.803828;0.502074;0.854243~1.134060~0.000000~0.000000~0.820612~1.412242~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_20_-1.dat;20;100;50.000000;300005;746.599288;1.239843;0.148500;0.000000~1.159083~1.148752~0.000000~1.025932~1.001023~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_20_-1.dat;20;100;100.000000;300006;746.599288;1.183164;0.148500;0.000000~1.159083~1.148752~0.000000~1.025932~1.001023~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_30_-1.dat;30;100;10.000000;300006;878.504452;1.248999;-0.038533;0.000000~1.017888~0.905372~0.000000~1.087382~0.738585~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_30_-1.dat;30;100;50.000000;300008;933.531024;1.100331;0.331869;0.000000~0.000000~1.046292~0.986999~0.927518~0.974855~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_30_-1.dat;30;100;100.000000;300005;884.682353;0.833069;-0.230812;0.826872~1.041032~0.000000~0.000000~0.983289~0.831056~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_10_-1.dat;10;150;10.000000;300010;1058.067903;1.379831;0.035188;0.882531~0.928092~0.920019~0.000000~0.000000~0.948934~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_10_-1.dat;10;150;50.000000;300007;1058.067903;0.897061;0.035188;0.882531~0.928092~0.920019~0.000000~0.000000~0.948934~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_10_-1.dat;10;150;100.000000;300005;1385.678571;0.893152;0.095326;0.987784~0.000000~0.000000~0.000000~0.000000~1.212322~-0.525199~0.000000~-0.549023
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_20_-1.dat;20;150;10.000000;300005;1217.914923;0.657472;0.061875;0.960733~0.000000~1.066432~1.065515~0.000000~0.877558~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_20_-1.dat;20;150;50.000000;300005;1219.457166;0.729208;0.062804;0.959705~0.000000~1.067591~1.063113~0.000000~0.878151~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_20_-1.dat;20;150;100.000000;300006;1224.725318;0.798497;0.072339;0.948442~0.000000~1.079924~1.037081~0.000000~0.883533~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_150_30_-1.dat;30;150;10.000000;300006;1277.125529;0.150716;-0.106763;1.306624~0.650597~0.748183~0.908383~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
