Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/toy_50_10_-1.dat;10;50;10.000000;202492;265.600521;265.578517;-0.286967;0.000000~1.094721~0.851899~0.000000~1.240912~1.092379~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-1.dat;20;50;10.000000;300004;248.475502;128.975028;-0.109284;1.404682~1.222484~0.000000~0.000000~0.870014~0.806071~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-1.dat;30;50;10.000000;300005;285.570352;3.588673;0.049846;1.103513~1.454166~0.000000~0.000000~0.000000~1.673511~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.223806~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10.000000;176711;352.101035;352.066408;-0.183491;0.000000~1.228492~0.806390~0.000000~1.146578~1.099683~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10.000000;195109;318.986938;318.956370;-0.191464;0.753989~0.731329~0.000000~0.000000~0.962610~0.922205~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10.000000;300005;290.780405;3.485770;-0.537773;0.843324~0.000000~0.949503~1.509635~0.899038~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10.000000;46798;380.827778;380.799218;0.403273;1.120559~0.000000~0.906560~0.000000~0.902590~1.017791~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10.000000;300005;314.354523;231.847042;-0.762552;0.268467~0.809011~0.000000~1.006856~0.000000~1.177951~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-3.dat;30;50;10.000000;300006;318.065718;4.814359;-0.717254;0.997820~0.928466~-0.137280~0.000000~0.000000~1.135138~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-4.dat;10;50;10.000000;300005;322.971910;148.503572;-0.077594;0.000000~0.000000~1.027669~0.826640~1.116583~0.659687~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-4.dat;20;50;10.000000;300005;392.498174;182.713677;-0.592777;0.000000~0.000000~0.000000~0.294104~0.811531~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.455822~0.000000~0.000000~-0.954466~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-4.dat;30;50;10.000000;300005;442.342793;5.602871;-0.105469;0.472825~0.757861~0.000000~0.000000~0.587709~0.989277~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-5.dat;10;50;10.000000;35254;424.250668;424.208436;-0.224741;0.772067~0.000000~0.000000~0.439351~0.762394~0.479517~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-5.dat;20;50;10.000000;300004;511.998736;273.199241;0.453853;0.000000~-0.584010~0.000000~0.000000~0.963634~1.078716~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.976346~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-5.dat;30;50;10.000000;300003;238.209925;5.137077;0.177660;0.888746~0.000000~0.937782~0.000000~1.134513~0.803271~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
