Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;10.000000;300004;338.728905;201.786532;-0.384571;0.923526~1.770337~1.827231~0.000000~1.982210~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;50.000000;300004;338.728905;237.759670;-0.384571;0.923526~1.770337~1.827231~0.000000~1.982210~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;100.000000;300004;340.659112;248.018404;0.018404;0.761729~0.000000~0.000000~1.717620~1.188910~1.510458~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;10.000000;300004;271.663295;60.286260;-0.187318;0.851293~1.032951~0.920754~0.000000~0.000000~1.241457~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;50.000000;300005;271.663295;31.210937;-0.187318;0.851293~1.032951~0.920754~0.000000~0.000000~1.241457~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;100.000000;300004;271.663295;52.004023;-0.187318;0.851293~1.032951~0.920754~0.000000~0.000000~1.241457~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;10.000000;300005;321.458441;10.662079;0.360298;1.119720~0.000000~1.288840~0.000000~1.142543~1.290120~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;50.000000;300004;321.458441;12.882193;0.360298;1.119720~0.000000~1.288840~0.000000~1.142543~1.290120~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;100.000000;300006;321.458441;11.623606;0.360298;1.119720~0.000000~1.288840~0.000000~1.142543~1.290120~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;10.000000;300005;793.935091;5.441109;-0.162435;0.000000~0.808964~0.732312~0.000000~0.775878~0.810076~0.000000~0.000000~0.000000
