Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;10.000000;72;632.294219;632.294219;0.278251;0.000000~0.000000~0.000000~0.000000~0.962137~1.089026~0.000000~-1.102626~-0.537616
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;50.000000;83;632.294219;632.294219;0.278251;0.000000~0.000000~0.000000~0.000000~0.962137~1.089026~0.000000~-1.102626~-0.537616
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_10_-1.dat;10;50;100.000000;61;632.294219;632.294219;0.278251;0.000000~0.000000~0.000000~0.000000~0.962137~1.089026~0.000000~-1.102626~-0.537616
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;10.000000;337;403.671137;403.671137;0.005750;0.865653~1.054430~0.933893~0.000000~0.000000~1.318568~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;50.000000;365;403.671137;403.671137;0.005750;0.865653~1.054430~0.933893~0.000000~0.000000~1.318568~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_20_-1.dat;20;50;100.000000;341;403.671137;403.671137;0.005750;0.865653~1.054430~0.933893~0.000000~0.000000~1.318568~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;10.000000;711;854.141473;854.141473;-0.009578;1.039626~0.000000~0.502340~0.000000~0.444225~1.015806~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;50.000000;733;854.141473;854.141473;-0.009578;1.039626~0.000000~0.502340~0.000000~0.444225~1.015806~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_50_30_-1.dat;30;50;100.000000;983;854.141473;854.141473;-0.009578;1.039626~0.000000~0.502340~0.000000~0.444225~1.015806~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;10.000000;119;1714.528851;1714.528851;-0.258854;0.000000~0.560445~0.710032~0.000000~0.554875~0.870241~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;50.000000;131;1714.528851;1714.528851;-0.258854;0.000000~0.560445~0.710032~0.000000~0.554875~0.870241~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_10_-1.dat;10;100;100.000000;165;1714.528851;1714.528851;-0.258854;0.000000~0.560445~0.710032~0.000000~0.554875~0.870241~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_20_-1.dat;20;100;10.000000;352;1568.202941;1568.202941;0.354060;0.000000~0.975478~0.000000~0.595702~0.693462~1.192003~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_20_-1.dat;20;100;50.000000;397;1568.202941;1568.202941;0.354060;0.000000~0.975478~0.000000~0.595702~0.693462~1.192003~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_20_-1.dat;20;100;100.000000;657;1568.202941;1568.202941;0.354060;0.000000~0.975478~0.000000~0.595702~0.693462~1.192003~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_30_-1.dat;30;100;10.000000;1937;2303.338517;2303.338517;-0.402801;0.000000~0.000000~0.000000~0.849485~0.000000~0.832401~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.350120~0.000000~0.000000~-0.424866~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_30_-1.dat;30;100;50.000000;3522;2303.338517;2303.338517;-0.402801;0.000000~0.000000~0.000000~0.849485~0.000000~0.832401~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.350120~0.000000~0.000000~-0.424866~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/bigm_tune/bigmtune_100_30_-1.dat;30;100;100.000000;3017;2303.338517;2303.319512;-0.402801;0.000000~0.000000~0.000000~0.849485~0.000000~0.832401~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.350120~0.000000~0.000000~-0.424866~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
