Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/toy_50_10_-1.dat;10;50;10.000000;254;446.193204;0.000000;0.165983;1.317975~0.000000~1.240128~0.000000~1.442697~0.696005~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-1.dat;20;50;10.000000;220;575.166859;0.461590;0.244568;0.000000~0.000000~0.000000~0.000000~1.170935~0.000000~0.000000~0.000000~0.000000~0.804518~0.000000~0.000000~0.000000~0.000000~-0.319413~0.000000~0.464558~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-1.dat;30;50;10.000000;463;817.842081;-0.000000;0.487459;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-1.461826~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10.000000;223;435.910907;0.000000;0.179394;1.225142~1.188431~0.000000~0.000000~1.165058~0.852383~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10.000000;318;1074.357601;0.000000;-0.715933;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10.000000;452;580.029196;0.000000;0.383356;0.000000~0.000000~0.913580~0.000000~0.000000~0.637245~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.662478~0.000000~0.153509~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10.000000;213;625.816997;0.000000;0.163185;0.000000~1.152738~0.243321~0.000000~0.000000~0.565054~-0.459011~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10.000000;211;771.944874;0.000000;-0.765504;0.000000~-0.049729~0.000000~0.000000~0.000000~1.013639~0.000000~0.000000~0.000000~0.000000~-0.256125~0.000000~0.000000~0.000000~0.000000~0.651179~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-3.dat;30;50;10.000000;293;736.973730;0.000000;-0.638985;0.000000~0.000000~0.000000~0.000000~-0.045822~0.000000~0.000000~0.000000~0.399235~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.020320~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-1.036271~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-4.dat;10;50;10.000000;233;389.045469;0.000000;-0.052981;0.000000~0.000000~0.840961~0.852134~0.969404~0.627916~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-4.dat;20;50;10.000000;353;985.485409;0.000000;-0.488203;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-4.dat;30;50;10.000000;411;804.879568;0.000000;-0.079610;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.555003~0.000000~0.000000~0.000000~0.000000~0.000000~-0.050603~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-5.dat;10;50;10.000000;116;652.188535;-0.000000;0.514345;0.118826~0.000000~0.000000~0.343043~0.000000~0.618636~0.000000~0.000000~-0.416808
../src/instance_set/generated_instances/toy_50_20_-5.dat;20;50;10.000000;208;684.268277;0.000000;-0.032557;0.000000~0.000000~-0.565796~0.000000~0.746688~0.000000~0.000000~0.000000~0.000000~-1.223915~0.000000~0.000000~0.000000~0.000000~0.000000~0.247752~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-5.dat;30;50;10.000000;393;839.293768;-0.000000;0.199195;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
