Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/toy_50_10_-1.dat;10;50;10.000000;39;78.387564;0.000000;0.166367;0.000000~0.763257~0.000000~0.000000~1.686213~0.000000~0.073304~0.472303~0.000000
../src/instance_set/generated_instances/toy_50_20_-1.dat;20;50;10.000000;69;89.938456;0.000000;0.248305;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.494698~0.000000~0.000000~-0.685382~0.111243~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-1.dat;30;50;10.000000;105;79.829778;0.000000;0.794382;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.712634~0.000000~-0.000616~0.000000~0.000000~0.000000~0.000000~0.000000~-1.474968~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10.000000;41;71.041927;0.000000;-0.467302;-0.168058~0.000000~0.950180~0.107995~0.000000~0.000000~0.000000~0.742187~0.000000
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10.000000;73;95.037943;0.000000;0.200938;0.000000~0.240229~0.000000~0.000000~0.648030~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.490142~0.090447~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10.000000;100;63.098178;0.000000;0.360429;0.221040~0.000000~2.305258~1.175262~0.000000~0.000000~0.000000~0.000000~0.000000~-0.933671~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10.000000;41;97.803692;0.000000;0.454165;0.000000~0.284292~0.000000~0.995618~0.000000~0.000000~0.062427~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10.000000;69;81.200090;0.000000;-0.722755;-0.749664~0.000000~0.133915~0.000000~0.000000~1.489000~0.000000~0.000000~-0.366867~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-3.dat;30;50;10.000000;105;58.395344;0.000000;-0.793134;0.000000~1.421508~-0.502552~0.000000~0.830322~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-4.dat;10;50;10.000000;42;55.859890;0.000000;0.262137;0.000000~0.000000~0.000000~0.000000~1.054727~0.875215~-0.734670~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-4.dat;20;50;10.000000;71;86.322757;0.000000;-0.268959;0.000000~0.000000~-0.205222~-0.660975~0.027988~0.901835~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-4.dat;30;50;10.000000;93;79.553537;0.000000;0.376440;0.000000~1.318855~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.077072~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.409377~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-5.dat;10;50;10.000000;44;66.067371;0.000000;-0.397878;1.053089~0.000000~0.000000~0.762521~0.000000~0.000000~0.000000~-0.647345~-0.068630
../src/instance_set/generated_instances/toy_50_20_-5.dat;20;50;10.000000;64;108.107679;0.000000;-0.595584;0.000000~0.623343~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.361082~0.000000~0.000000~0.000000~0.000000~0.362082~0.000000~0.751510~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-5.dat;30;50;10.000000;98;96.154653;0.000000;0.375636;0.000000~0.000000~0.000000~-0.589296~0.486030~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.386908
