Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/toy_50_10_-1.dat;10;50;10.000000;134;1080.122553;0.000000;-0.349672;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-1.dat;20;50;10.000000;207;784.071730;0.143141;0.289942;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-1.dat;30;50;10.000000;222;890.233377;0.000000;0.047093;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10.000000;115;509.965747;0.000000;0.138180;0.000000~0.000000~0.863242~0.343021~0.000000~0.000000~-0.644634~0.000000~0.461269
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10.000000;167;1091.175692;0.000000;-0.715933;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10.000000;244;1138.533525;0.000000;-0.259989;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10.000000;175;1242.492274;0.000000;-0.512009;0.000000~0.000000~0.007776~0.000000~0.416046~0.653254~-0.589863~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10.000000;193;628.938784;0.000000;-0.663027;0.000000~-0.076436~0.000000~0.000000~0.000000~0.858982~0.000000~0.000000~0.000000~0.000000~-0.069544~0.000000~0.000000~0.000000~0.000000~0.650308~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-3.dat;30;50;10.000000;241;771.907261;0.000000;-0.903618;0.223189~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.192138~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.053269~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.958234~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-4.dat;10;50;10.000000;121;811.162958;0.000000;-0.143082;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-4.dat;20;50;10.000000;183;1237.441830;0.000000;-1.148479;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-4.dat;30;50;10.000000;204;1193.029166;0.000000;-0.479238;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-5.dat;10;50;10.000000;127;705.058761;0.000000;-0.158715;0.000000~0.000000~-0.451365~0.000000~0.777538~0.346268~0.000000~-0.201540~0.000000
../src/instance_set/generated_instances/toy_50_20_-5.dat;20;50;10.000000;165;919.397092;0.000000;-0.824430;0.000000~0.000000~0.000000~0.000000~0.000000~1.119069~0.000000~0.000000~0.000000~-0.835019~0.000000~0.000000~0.000000~0.000000~-1.139665~0.000000~0.286879~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-5.dat;30;50;10.000000;185;1060.254941;0.000000;0.138007;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-1.dat;10;50;10.000000;136;1080.122553;0.000000;-0.349672;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-1.dat;20;50;10.000000;208;784.071730;0.143141;0.289942;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-1.dat;30;50;10.000000;220;890.233377;0.000000;0.047093;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10.000000;116;509.965747;0.000000;0.138180;0.000000~0.000000~0.863242~0.343021~0.000000~0.000000~-0.644634~0.000000~0.461269
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10.000000;165;1091.175692;0.000000;-0.715933;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10.000000;240;1138.533525;0.000000;-0.259989;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10.000000;175;1242.492274;0.000000;-0.512009;0.000000~0.000000~0.007776~0.000000~0.416046~0.653254~-0.589863~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10.000000;195;628.938784;0.000000;-0.663027;0.000000~-0.076436~0.000000~0.000000~0.000000~0.858982~0.000000~0.000000~0.000000~0.000000~-0.069544~0.000000~0.000000~0.000000~0.000000~0.650308~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-3.dat;30;50;10.000000;241;771.907261;0.000000;-0.903618;0.223189~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.192138~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.053269~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.958234~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-4.dat;10;50;10.000000;116;811.162958;0.000000;-0.143082;0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
