Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/toy_50_10_-1.dat;10;50;10.000000;39;585.562026;459.820760;-0.132007;0.000000~0.888526~0.914256~0.000000~1.043467~1.309863~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-1.dat;20;50;10.000000;96;398.440109;120.845221;-0.213910;1.447409~1.182095~0.000000~0.000000~0.902897~0.935120~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-1.dat;30;50;10.000000;133;815.848848;352.885035;0.658612;0.000000~0.000000~0.000000~0.000000~0.000000~0.817973~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.462499~0.000000~0.000000~0.000000~1.192882~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.455314
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10.000000;38;683.246851;609.087933;-0.054987;0.000000~0.000000~1.021828~0.000000~0.000000~0.743691~-0.461260~0.699167~0.000000
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10.000000;75;1112.049824;765.953162;-1.229181;0.000000~0.000000~0.000000~0.000000~0.000000~1.294654~0.000000~-0.837486~0.000000~0.949250~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.666921~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10.000000;150;830.162566;251.613490;-0.087869;0.000000~0.000000~0.938204~0.000000~0.328874~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.038474~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.167978~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10.000000;35;1309.399322;942.593729;-0.419606;0.000000~0.000000~0.237180~0.000000~0.324822~0.000000~-0.357110~0.000000~-0.073784
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10.000000;76;944.263689;542.119677;-0.474107;0.000000~0.000000~0.000000~0.000000~0.000000~1.210529~0.000000~0.000000~-0.368637~0.000000~0.000000~0.000000~0.352029~0.000000~0.000000~0.000000~0.000000~0.000000~0.211162
../src/instance_set/generated_instances/toy_50_30_-3.dat;30;50;10.000000;147;779.389984;270.545925;-0.738675;0.000000~0.000000~-0.787855~1.067241~1.358422~0.000000~0.266496~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-4.dat;10;50;10.000000;39;480.649590;337.021080;-0.046854;0.000000~0.000000~0.911178~0.852188~1.007719~0.724540~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-4.dat;20;50;10.000000;77;1004.127585;798.832332;-0.690877;0.000000~0.000000~0.000000~0.000000~0.684141~0.000000~0.000000~0.000000~0.000000~-0.678557~0.000000~-0.506663~0.000000~0.000000~0.000000~-0.659818~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-4.dat;30;50;10.000000;124;956.053288;554.797761;-0.184632;0.000000~0.000000~0.000000~-0.714602~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.380283~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.170385~0.000000~0.850656
../src/instance_set/generated_instances/toy_50_10_-5.dat;10;50;10.000000;31;901.281185;813.382904;0.047314;0.000000~-0.254039~-0.189705~0.000000~0.728195~0.000000~0.000000~0.000000~-0.534456
../src/instance_set/generated_instances/toy_50_20_-5.dat;20;50;10.000000;82;1184.483915;705.400164;0.525825;0.000000~0.000000~0.000000~-1.137216~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.207496~0.000000~0.000000~0.000000~0.000000~0.000000~2.195488~1.280028~0.000000
../src/instance_set/generated_instances/toy_50_30_-5.dat;30;50;10.000000;147;1107.808258;427.513480;-0.252578;0.000000~0.000000~0.000000~0.000000~0.341305~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.542441~0.000000~0.000000~0.718129~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.701843~0.000000~0.000000~0.000000
