Instance;d_0;k_0;MismatchedOutliers;OurObj;intercept;slopes
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;1;6;0.000000;5.788034;0.000000~0.000000~-0.000000~0.000000~-0.000000~0.000000~1.353014~0.000000~-10.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;3;14;-0.000000;0.880456;10.000000~-0.000000~-0.000000~-0.000000~-0.000000~-1.706464~-1.344449~1.371084~-2.693576
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;1;6;-0.000000;-1.429389;-1.652722~0.000000~-7.188286~-0.000000~-0.000000~0.000000~-0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;3;20;0.000000;-3.717725;-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-1.371656~-0.000000~-0.376498~-1.812910
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;1;9;0.000000;0.426518;-0.000000~-0.000000~0.000000~-0.000000~-0.000000~4.380053~-3.303558~0.000000~-10.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;3;13;0.000000;-4.205424;0.000000~-0.000000~-2.458476~-0.000000~-0.000000~-2.587720~-7.139896~0.773456~-0.098253
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;1;8;0.000000;1.859135;-0.000000~-0.000000~-0.000000~-0.000000~5.875224~-0.994962~0.000000~-0.000000~-3.848340
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;3;14;0.000000;-2.628767;-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-2.450454~-2.653140
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;1;7;0.000000;7.873907;0.000000~-5.376881~0.000000~0.000000~-10.000000~-1.116048~0.000000~0.000000~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;3;18;0.000000;-2.360700;-5.390946~-0.000000~-0.000000~-0.000000~0.380617~1.813706~-3.423885~1.295707~4.339725
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;1;6;0.000000;1.791153;0.000000~-0.268844~0.000000~1.040212~-0.000000~0.000000~0.000000~0.000000~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;3;10;-0.000000;-4.758692;0.000000~-0.000000~-2.162110~-0.000000~0.000000~-0.248482~-0.000000~0.000000~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;1;6;0.000000;-7.513468;-10.000000~-0.000000~4.052399~-0.000000~-0.000000~-3.615447~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;3;17;-0.000000;1.248228;-0.000000~-0.000000~-0.000000~6.963538~-0.000000~10.000000~-0.483823~-0.275237~-7.480383
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;1;6;-0.000000;2.396234;-0.000000~-0.000000~0.000000~8.409981~-0.000000~8.397661~0.000000~-0.000000~-10.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;3;13;0.000000;-5.296960;-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~3.640615~-0.000000~-0.458858~-2.477592
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;1;4;0.000000;-9.164095;0.000000~0.000000~-0.000000~0.000000~0.718270~-6.714846~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;3;17;0.000000;1.189062;-0.000000~-0.000000~9.202818~-0.000000~-0.000000~-1.651137~-4.919093~-3.933610~-0.156952
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;1;10;0.000000;1.290791;-8.388596~-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-6.650170~-7.809865~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;3;16;-0.000000;-4.765578;-0.271069~-0.000000~-0.000000~-0.000000~-0.000000~-1.983130~0.000000~0.000000~-1.836191
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;1;6;0.000000;0.436321;-0.000000~-0.000000~0.000000~-0.000000~7.281161~-10.000000~0.000000~-10.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;3;16;0.000000;-1.344504;-0.000000~-0.000000~-10.000000~-0.000000~2.584720~-10.000000~-1.412816~-3.564754~-3.017812
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;8;1;4;0.000000;-0.159372;-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-3.641180~-4.855647~4.609410
