Instance;d_0;k_0;MismatchedOutliers;OurObj;intercept;slopes
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;1;26;0.004013;-9.880796;0.000000~-0.039208~0.043523~0.000000~0.067780~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;3;12;0.691648;-2.368590;0.371943~0.189063~0.065086~0.106820~0.966256~-0.258783~-0.206090~0.104266~-0.373631
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;1;24;0.004013;-9.880796;0.000000~-0.039208~0.043523~0.000000~0.067780~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;3;14;1.250420;-0.200945;0.112734~0.884014~0.598285~0.594629~0.798304~-0.592957~0.059060~0.000000~-0.052397
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;1;24;0.002271;0.894706;0.000000~0.000000~0.000000~0.000000~0.000000~-0.033332~0.043725~-0.038976~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;3;16;0.406231;-0.081846;0.509820~0.216317~0.157120~0.437760~0.000000~-0.089222~-0.150087~-0.180931~-0.475613
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;1;24;0.003486;0.828138;0.000000~0.000000~0.061880~0.000000~0.000000~-0.032306~-0.045818~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;3;12;0.750395;0.923442;0.266197~0.773864~0.156189~0.000000~0.748631~0.282034~0.206629~-0.247437~-0.250516
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;1;24;0.000875;-1.630332;0.000000~0.000000~-0.027418~0.017074~0.000000~-0.026568~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;3;12;0.321349;0.474445;-0.502930~0.115296~0.346434~0.245114~-0.201422~0.005049~-0.329532~-0.037536~0.213945
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;1;24;0.000875;-1.630332;0.000000~0.000000~-0.027418~0.017074~0.000000~-0.026568~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;3;16;0.728714;-1.130449;-0.132632~0.433626~-0.007312~0.711728~0.000000~0.645470~0.331977~-0.339726~0.320844
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;1;24;0.001011;0.012392;0.000000~0.000000~0.000000~0.000000~0.000000~-0.032914~-0.025319~0.017255~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;3;12;0.459731;1.338071;0.000000~0.128681~0.014774~0.336565~0.774614~0.399877~0.027156~0.068353~0.155144
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;1;26;0.001159;0.060680;0.000000~0.022712~0.000000~0.000000~0.000000~0.027358~-0.032447~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;3;14;0.527991;1.307029;0.089115~0.170245~0.000000~0.326481~0.815487~0.464970~0.032971~0.092358~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;1;24;0.000295;0.232120;0.000000~0.000000~0.000000~0.000000~0.000000~0.021863~0.000000~-0.008997~-0.005487
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;3;12;0.178746;0.502926;0.208213~0.000000~-0.215948~0.132261~0.184990~-0.370618~-0.252956~0.029284~-0.116574
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;1;24;0.000330;0.232092;0.000000~0.000000~0.000000~0.000000~0.000000~0.017210~-0.002803~-0.018851~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;3;12;0.483578;0.067055;0.000000~0.528570~0.391157~0.379306~0.248919~-0.159568~-0.301516~-0.057782~0.457407
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;1;24;0.000681;0.226475;0.000000~0.000000~-0.013395~0.000000~0.000000~0.000000~0.000000~0.012144~-0.032173
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;3;14;0.139419;0.324716;0.077582~0.083477~0.151505~0.050934~0.134686~0.400315~-0.210848~-0.131000~-0.017120
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;8;1;24;0.005975;-3.086319;0.060102~0.000000~0.000000~0.000000~0.087665~0.025534~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;8;3;14;0.321537;0.125880;0.584598~0.209021~0.192520~0.041181~0.391861~0.175648~0.000000~0.110786~0.148959
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;4;1;24;0.000197;-0.180871;0.000000~0.000000~0.000000~0.008577~0.000000~0.017262~0.000000~0.004642~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;4;3;14;0.154326;-0.496934;0.153845~-0.078445~-0.109073~0.018157~0.000000~-0.246620~0.047474~0.135381~0.430349
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;8;1;24;0.000373;-0.150168;0.000000~0.000000~0.000000~0.026554~0.000000~0.000000~0.005164~-0.003807~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;8;3;12;0.453644;-0.060515;0.549693~0.572215~0.268982~0.000000~0.239701~-0.025533~0.072746~-0.331085~0.002290
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;1;24;0.000275;-0.073588;0.000000~0.006300~0.000000~0.000000~0.017858~0.000000~0.000000~0.013815~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;3;12;0.255569;0.439666;0.089111~0.568149~0.000109~0.163326~0.138969~-0.141335~-0.333874~0.049634~-0.022493
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;1;24;0.000275;-0.073588;0.000000~0.006300~0.000000~0.000000~0.017858~0.000000~0.000000~0.013815~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;3;12;0.285552;-0.059605;0.140968~0.391031~0.065041~0.101152~0.000000~0.166242~0.023185~0.058324~0.593540
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;1;24;0.000833;-0.397789;0.000000~0.012179~0.000000~0.000000~0.022178~0.000000~-0.032035~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;3;12;0.159805;-0.351950;0.256904~0.041621~-0.254898~0.000000~0.078412~-0.320331~-0.167440~-0.001564~0.223845
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;1;24;0.000833;-0.397789;0.000000~0.012179~0.000000~0.000000~0.022178~0.000000~-0.032035~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;3;12;0.851734;-0.461466;0.518784~0.420044~0.173833~0.873891~0.634564~-0.188288~-0.080893~-0.101148~0.095356
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;1;24;0.000184;-1.193771;0.000000~0.000000~0.000000~0.000000~0.006900~0.000000~0.000000~-0.012314~-0.012981
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;3;12;0.190230;-1.525300;-0.113502~0.188777~0.119085~-0.313947~0.350224~0.014216~-0.061120~-0.072123~0.295635
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;1;24;0.000210;-1.172987;0.000000~0.000000~0.000000~0.000000~0.008858~0.000000~0.011829~-0.014221~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;3;14;0.869285;-1.403751;0.016294~0.587357~0.650460~0.000000~0.642350~-0.125225~-0.056958~0.000000~0.257455
