Instance;d_0;k_0;OurObj;intercept;slopes
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;1;415.090540;-2.422458;0.000000~0.000000~0.000000~0.815472~3.508182~-1.507229~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;3;262.619320;-1.810392;0.591411~0.445495~1.085088~1.576718~2.587207~-1.383586~0.790884~1.062256~-1.180754
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;1;415.090540;-2.422458;0.000000~0.000000~0.000000~0.815472~3.508182~-1.507229~-0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;3;314.887609;-2.260916;0.061538~0.776147~1.523653~1.502939~3.633235~-1.531542~0.809276~0.000000~-1.015058
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;1;441.164395;-1.287136;0.000000~0.000000~0.000000~2.510073~2.810632~0.000000~0.000000~1.198378~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;3;405.918700;-1.795815;0.608463~0.117583~0.498292~2.548447~2.707620~-0.624337~-0.937915~1.081975~0.328064
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;1;441.164395;-1.287136;0.000000~0.000000~0.000000~2.510073~2.810632~0.000000~0.000000~1.198378~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;3;425.074583;-1.275358;0.486179~0.202170~0.332276~2.065030~2.615728~-0.000000~0.159876~0.740227~-0.168665
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;1;589.510356;-2.485145;-1.898501~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.971219~1.378105
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;3;484.846660;-1.846157;-0.697067~0.890732~0.174818~0.273385~1.919982~-0.815264~-1.782453~-1.558769~2.385874
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;1;589.510356;-2.485145;-1.898501~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~-0.971219~1.378105
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;3;561.158537;-2.405975;-1.571205~0.456755~0.000000~0.276531~0.000000~-0.554242~-0.000000~-0.958454~1.304238
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;1;465.917740;-1.105681;0.000000~0.000000~0.000000~0.000000~0.767421~1.066744~-0.996754~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;3;389.110985;-1.529528;0.583491~1.509866~-0.000000~1.844439~1.229203~2.246981~-1.029142~1.018278~-0.721038
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;1;465.917740;-1.105681;0.000000~0.000000~0.000000~0.000000~0.767421~1.066744~-0.996754~-0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;3;410.175632;-1.655795;0.903677~1.710343~-0.000000~1.473082~1.008915~1.587334~-0.000000~1.440682~-0.429299
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;1;465.057547;-1.789228;-0.802938~-1.315595~0.000000~0.000000~0.000000~0.000000~-3.366964~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;3;425.993725;-0.533922;-0.000000~-0.000000~0.350513~1.294011~-0.000000~1.280985~-3.122036~0.086093~1.501516
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;1;465.522631;-1.449133;0.000000~-0.000000~-0.000000~0.830356~0.000000~0.000000~-2.804667~0.000000~1.469745
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;3;446.237883;-1.223873;-0.271069~-0.000000~0.481472~0.854325~0.855528~0.000000~-3.444662~-0.687571~0.614337
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;1;315.221155;0.222737;1.973094~1.677459~0.000000~0.000000~0.000000~0.759810~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;3;283.837356;-0.471787;1.644381~1.476595~0.386989~1.392871~0.595772~1.033933~-0.248793~-0.390115~0.442793
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;8;1;315.473170;0.220884;1.984828~1.672853~0.000000~0.000000~0.000000~0.746526~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;8;3;293.473956;-0.266982;1.423732~1.819956~0.419426~1.127737~0.618050~1.148016~-0.000000~-0.000000~0.379307
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;4;1;396.168350;-1.374346;1.907231~1.309084~0.000000~0.000000~1.762377~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;4;3;372.457531;-0.907766;1.229141~0.302451~0.706267~-0.000000~0.886148~0.000000~0.378572~-0.495352~0.915837
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;8;1;396.168350;-1.374346;1.907231~1.309084~0.000000~-0.000000~1.762377~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;8;3;385.025497;-1.230004;1.747449~0.631417~0.330658~-0.000000~1.197783~0.000000~-0.000000~-0.461727~0.335804
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;1;652.558949;-2.150701;2.192408~0.000000~0.000000~2.206917~1.029541~0.000000~-0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;3;596.970426;-1.763898;2.387885~0.482411~0.846560~3.011953~1.303459~0.284743~-0.507413~-0.611760~0.596081
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;1;652.558949;-2.150701;2.192408~0.000000~0.000000~2.206917~1.029541~0.000000~-0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;3;601.459105;-1.432137;2.196613~0.693984~0.725107~2.679614~1.436466~0.339422~-0.000000~-0.498604~0.528934
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;1;392.199803;-1.837385;1.458079~0.000000~0.000000~1.386773~0.000000~1.751092~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;3;304.987030;-1.792009;2.528143~-0.000000~-1.674402~2.297891~0.086454~2.042779~-0.203814~0.466780~0.631529
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;1;392.199803;-1.837385;1.458079~-0.000000~0.000000~1.386773~0.000000~1.751092~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;3;363.518420;-1.817230;1.559517~0.103329~-0.000000~1.186185~0.489470~1.824558~-0.098677~0.000000~0.295137
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;1;497.565198;-1.692507;2.478777~0.000000~0.000000~1.280865~1.456460~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;3;431.011995;-2.082643;3.059935~0.971685~0.553916~1.017707~0.533105~-1.130810~-0.021701~-1.217773~0.685649
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;1;497.565198;-1.692507;2.478777~0.000000~0.000000~1.280865~1.456460~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;3;451.843877;-2.477868;1.489170~1.070891~0.799957~0.616743~1.139694~-0.281216~-0.229328~0.194850~0.364534
