Instance;d_0;k_0;MismatchedOutliers;OurObj;intercept;slopes
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;1;0;-254.471801;-2.234763;0.000000~0.000000~1.478377~0.000000~3.296615~-2.237885~0.631589~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;4;3;0;-950.281746;-0.581375;0.000000~1.283113~1.031983~1.761343~1.546086~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;1;0;-355.193087;-1.012008;-1.586029~-1.620831~0.000000~1.738738~1.702359~-0.923294~0.664851~1.338810~-3.295180
../src/instance_set/toy_30_10_02_2_0_5_-10_1.dat;8;3;0;-810.227215;-1.130043;0.615381~1.389110~1.179548~1.650997~1.676883~0.000000~0.455528~-0.037650~-0.181291
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;1;0;-255.570942;-0.172686;0.979005~0.964988~0.000000~1.306730~1.737178~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;4;3;0;-1028.437103;0.253980;1.500214~1.175829~0.000000~0.975231~1.855223~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;1;0;-261.867228;-0.381317;1.245672~0.843408~0.955975~1.640307~2.377209~-0.099494~-0.365985~0.645200~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_2.dat;8;3;0;-1002.180911;0.411227;0.525201~1.149104~0.900025~0.604971~1.029101~0.422816~0.670056~0.000000~-0.265314
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;1;0;-297.915618;-1.724468;-2.842701~0.000000~0.000000~0.000000~0.000000~-0.558586~0.000000~-1.749441~2.241533
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;4;3;0;-1035.846484;0.417666;0.000000~0.528661~0.608669~0.786235~0.000000~0.000000~-0.654660~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;1;0;-427.773645;-1.678614;-1.370341~-2.661712~0.000000~0.778537~4.075937~-0.596771~-2.851364~-1.926142~3.969316
../src/instance_set/toy_30_10_02_2_0_5_-10_3.dat;8;3;0;-1196.758388;-2.269074;-3.351417~1.706314~-0.216211~1.717108~-1.283463~0.000000~0.930191~-1.775157~1.584009
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;1;0;-327.672549;-1.213338;0.000000~2.125651~0.000000~3.367241~1.581340~0.000000~-1.066661~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;3;0;-993.971943;0.904546;1.427646~0.672649~1.401976~0.000000~1.364580~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;1;0;-363.341021;-1.849046;0.924394~1.343036~-1.447645~3.383418~1.754789~2.080368~-0.510565~1.605385~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;3;0;-1084.500196;0.972294;2.000000~1.084142~1.495078~0.682947~1.326405~0.896972~0.403909~0.000000~-1.086487
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;1;2;-333.291017;-1.555336;-2.010484~0.000000~2.424582~0.000000~0.000000~0.000000~-3.726474~-2.285776~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;3;0;-876.760147;0.806181;0.516448~0.677974~0.000000~0.718556~0.847225~0.000000~0.000000~0.000000~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;1;4;-281.987354;-1.672440;-0.755902~-1.966722~1.361705~0.665453~-0.279271~0.000000~-4.123026~0.177754~0.661985
