0
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 99.1655 0.0000 nan 100.00%
0 0 33.3849 15 99.1655 33.3849 159 66.33%
0+ 0 nan nan 85.5351 33.3849 nan 60.97%
0 0 33.7883 23 85.5351 Cuts:16 193 60.50%
0 0 35.1476 23 85.5351 Cuts:22 218 58.91%
0+ 0 nan nan 74.1414 35.1476 nan 52.59%
0 0 35.7900 19 74.1414 Cuts:23 248 51.73%
0 0 35.9012 20 74.1414 Cuts:16 265 51.58%
0+ 0 nan nan 73.1116 35.9012 nan 50.90%
0 0 36.0441 21 73.1116 Cuts:18 277 50.70%
0 0 36.2019 23 73.1116 Cuts:21 303 50.48%
0 0 36.2568 22 73.1116 Cuts:23 333 50.41%
0 0 36.3502 23 73.1116 Cuts:25 357 50.28%
0 0 36.3643 22 73.1116 Cuts:26 371 50.26%
0 0 36.4340 23 73.1116 LiftProj:19 397 50.17%
0 0 36.4399 25 73.1116 LiftProj:22 418 50.16%
0 0 36.4940 24 73.1116 LiftProj:16 447 50.08%
0 0 36.5633 26 73.1116 Cuts:29 486 49.99%
0 0 36.6141 26 73.1116 LiftProj:17 513 49.92%
0 0 36.6468 26 73.1116 Cuts:22 533 49.88%
0 0 36.7229 23 73.1116 Cuts:19 571 49.77%
0 0 36.8673 23 73.1116 Cuts:21 594 49.57%
0+ 0 nan nan 65.2108 36.8673 nan 43.46%
0 0 36.9960 25 65.2108 LiftProj:21 625 43.27%
0 0 37.1995 28 65.2108 LiftProj:24 652 42.95%
0 0 37.2768 29 65.2108 LiftProj:22 681 42.84%
0 0 37.3445 29 65.2108 LiftProj:20 712 42.73%
0 0 37.6099 31 65.2108 LiftProj:21 741 42.33%
0 0 37.8886 28 65.2108 LiftProj:18 761 41.90%
0 0 38.1834 31 65.2108 LiftProj:17 783 41.45%
0 0 38.5083 32 65.2108 LiftProj:19 806 40.95%
0 0 38.6990 30 65.2108 LiftProj:18 829 40.66%
0 0 38.8171 29 65.2108 LiftProj:20 849 40.47%
0 0 38.9009 32 65.2108 LiftProj:20 869 40.35%
0 0 38.9867 31 65.2108 LiftProj:14 887 40.21%
0 0 39.0745 32 65.2108 Cuts:23 901 40.08%
0 0 39.1306 29 65.2108 LiftProj:21 920 39.99%
0 0 39.2569 32 65.2108 LiftProj:24 938 39.80%
0 0 39.3585 32 65.2108 LiftProj:16 960 39.64%
0 0 39.4005 32 65.2108 LiftProj:16 976 39.58%
0 0 39.5055 34 65.2108 LiftProj:15 998 39.42%
0 0 39.5855 31 65.2108 LiftProj:14 1008 39.30%
0 0 39.6990 31 65.2108 LiftProj:15 1022 39.12%
0 0 39.9107 33 65.2108 LiftProj:13 1047 38.80%
0 0 40.0405 29 65.2108 LiftProj:14 1067 38.60%
0 0 40.0661 31 65.2108 LiftProj:9 1081 38.56%
0 0 40.0972 34 65.2108 LiftProj:12 1089 38.51%
0 0 40.2352 33 65.2108 LiftProj:12 1110 38.30%
0 0 40.3148 34 65.2108 LiftProj:17 1130 38.18%
0 0 40.3576 32 65.2108 LiftProj:14 1139 38.11%
0 0 40.4304 33 65.2108 LiftProj:14 1158 38.00%
0 0 40.4672 32 65.2108 LiftProj:9 1169 37.94%
0 0 40.5112 32 65.2108 LiftProj:8 1179 37.88%
0 0 40.5519 34 65.2108 LiftProj:16 1195 37.81%
0 0 40.5609 33 65.2108 LiftProj:9 1203 37.80%
0 0 40.5901 34 65.2108 LiftProj:8 1219 37.76%
0 0 40.6050 35 65.2108 LiftProj:9 1228 37.73%
0+ 0 nan nan 54.8834 40.6050 nan 26.02%
0 2 40.6050 35 54.8834 40.6199 1228 25.99%
CPXPARAM_MIP_Cuts_Gomory-LiftProj:Gomory 47
CPXPARAM_MIP_Cuts_Gomory-LiftProj:LiftProj 0
1
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 99.1655 0.0000 nan 100.00%
0 0 0.0000 28 99.1655 0.0000 115 100.00%
0+ 0 nan nan 78.9783 0.0000 nan 100.00%
0+ 0 nan nan 69.9899 0.0000 nan 100.00%
0+ 0 nan nan 68.9499 0.0000 nan 100.00%
0+ 0 nan nan 37.4130 0.0000 nan 100.00%
0 2 0.0000 22 37.4130 0.0000 115 100.00%
CPXPARAM_MIP_Cuts_Gomory-LiftProj:Gomory 0
CPXPARAM_MIP_Cuts_Gomory-LiftProj:LiftProj 0
2
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 69.8576 0.0000 nan 100.00%
0 0 24.3849 14 69.8576 24.3849 151 65.09%
0 0 25.1920 22 69.8576 Cuts:18 187 63.94%
0 0 25.7974 22 69.8576 Cuts:19 204 63.07%
0 0 26.4627 21 69.8576 Cuts:17 220 62.12%
