0
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 99.1655 0.0000 nan 100.00%
0 0 1.0620 26 99.1655 1.0620 177 98.93%
0 0 5.6256 29 99.1655 Cuts:26 212 94.33%
0 0 8.3856 34 99.1655 Cuts:34 255 91.54%
0 0 10.5539 32 99.1655 Cuts:35 291 89.36%
0 0 11.5757 32 99.1655 Cuts:28 337 88.33%
0 0 13.5531 30 99.1655 Cuts:35 386 86.33%
0 0 13.8986 31 99.1655 Cuts:18 425 85.98%
0 0 14.4921 32 99.1655 Cuts:15 452 85.39%
0 0 14.7235 35 99.1655 Cuts:16 477 85.15%
0 0 16.2435 33 99.1655 Cuts:16 522 83.62%
0 0 17.0154 33 99.1655 Cuts:17 553 82.84%
0 0 17.3051 33 99.1655 Cuts:23 585 82.55%
0 0 17.6055 32 99.1655 LiftProj:20 611 82.25%
0 0 18.1939 32 99.1655 Cuts:17 641 81.65%
0 0 18.3200 34 99.1655 Cuts:16 663 81.53%
0+ 0 nan nan 92.6209 18.3200 nan 80.22%
0 0 18.8880 33 92.6209 LiftProj:17 701 79.61%
0 0 19.4673 32 92.6209 LiftProj:24 739 78.98%
0 0 19.6513 34 92.6209 LiftProj:19 760 78.78%
0 0 20.0316 34 92.6209 LiftProj:24 798 78.37%
0 0 20.1198 34 92.6209 LiftProj:18 815 78.28%
0 0 20.4523 34 92.6209 LiftProj:23 852 77.92%
0 0 20.7268 34 92.6209 LiftProj:19 879 77.62%
0 0 20.7898 34 92.6209 Cuts:17 900 77.55%
0 0 20.8996 36 92.6209 LiftProj:12 918 77.44%
0 0 21.1692 34 92.6209 LiftProj:12 940 77.14%
0 0 21.4903 37 92.6209 LiftProj:16 966 76.80%
0 0 21.7052 37 92.6209 LiftProj:16 996 76.57%
0 0 22.0078 36 92.6209 LiftProj:18 1028 76.24%
0 0 22.1195 37 92.6209 LiftProj:10 1048 76.12%
0 0 22.2693 37 92.6209 LiftProj:11 1073 75.96%
0 0 22.3989 37 92.6209 LiftProj:12 1091 75.82%
0 0 22.4923 36 92.6209 LiftProj:8 1112 75.72%
0 0 22.5187 37 92.6209 LiftProj:8 1126 75.69%
0 0 22.6886 34 92.6209 LiftProj:8 1164 75.50%
0 0 22.6886 36 92.6209 Cuts:15 1169 75.50%
0 0 22.7839 38 92.6209 LiftProj:15 1187 75.40%
0+ 0 nan nan 83.7166 22.7839 nan 72.78%
0 0 22.8284 37 83.7166 LiftProj:12 1204 72.73%
0 0 22.9715 37 83.7166 LiftProj:14 1231 72.56%
0 0 22.9889 38 83.7166 LiftProj:7 1248 72.54%
0 0 23.1809 37 83.7166 LiftProj:12 1281 72.31%
0+ 0 nan nan 83.4462 23.1809 nan 72.22%
0 0 23.2630 37 83.4462 LiftProj:13 1309 72.12%
0 0 23.4308 38 83.4462 LiftProj:12 1341 71.92%
0 0 23.8111 37 83.4462 LiftProj:22 1380 71.47%
0 0 23.9131 39 83.4462 LiftProj:40 1406 71.34%
0 0 24.0499 36 83.4462 LiftProj:11 1429 71.18%
0 0 24.1609 36 83.4462 LiftProj:16 1462 71.05%
0 0 24.2322 36 83.4462 LiftProj:16 1484 70.96%
0+ 0 nan nan 74.1414 24.2322 nan 67.32%
0 0 24.3340 37 74.1414 LiftProj:30 1507 67.18%
0 0 24.3538 38 74.1414 LiftProj:9 1521 67.15%
0 0 24.3986 38 74.1414 LiftProj:15 1535 67.09%
0 0 24.4689 37 74.1414 LiftProj:9 1557 67.00%
0 0 24.5178 38 74.1414 LiftProj:15 1577 66.93%
0 0 24.5393 38 74.1414 LiftProj:26 1593 66.90%
0 0 24.7128 36 74.1414 LiftProj:8 1620 66.67%
0 0 24.7894 37 74.1414 LiftProj:21 1645 66.56%
0 0 24.8451 36 74.1414 Cuts:34 1668 66.49%
0 0 24.8451 36 74.1414 LiftProj:9 1670 66.49%
0+ 0 nan nan 65.0633 24.8451 nan 61.81%
0+ 0 nan nan 63.6590 24.8451 nan 60.97%
0 2 24.8451 36 63.6590 24.8457 1670 60.97%
CPXPARAM_MIP_Cuts_LiftProj-Disjunctive:LiftProj 50
CPXPARAM_MIP_Cuts_LiftProj-Disjunctive:Disjunctive 0
1
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 99.1655 0.0000 nan 100.00%
0 0 0.0000 27 99.1655 0.0000 131 100.00%
0+ 0 nan nan 86.2827 0.0000 nan 100.00%
0 0 0.0000 20 86.2827 Disjcuts:1 134 100.00%
0+ 0 nan nan 77.7223 0.0000 nan 100.00%
0 0 0.0000 22 77.7223 Cuts:18 151 100.00%
0+ 0 nan nan 74.9617 0.0000 nan 100.00%
0 0 0.0000 21 74.9617 LiftProj:2 156 100.00%
0+ 0 nan nan 65.6578 0.0000 nan 100.00%
0+ 0 nan nan 54.1478 0.0000 nan 100.00%
