0
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 99.1655 0.0000 nan 100.00%
0 0 1.0620 26 99.1655 1.0620 177 98.93%
0 0 7.5957 28 99.1655 Cuts:29 216 92.34%
0 0 9.9756 28 99.1655 Cuts:37 249 89.94%
0+ 0 nan nan 84.6749 9.9756 nan 88.22%
0 0 11.5556 30 84.6749 Cuts:37 271 86.35%
0 0 13.6137 34 84.6749 Cuts:33 308 83.92%
0 0 14.1461 34 84.6749 Cuts:31 343 83.29%
0 0 15.0150 32 84.6749 LiftProj:16 375 82.27%
0+ 0 nan nan 81.4015 15.0150 nan 81.55%
0 0 15.6642 32 81.4015 Cuts:19 409 80.76%
0 0 15.9253 34 81.4015 Cuts:17 432 80.44%
0 0 16.1911 35 81.4015 LiftProj:14 454 80.11%
0 0 16.6059 33 81.4015 LiftProj:15 488 79.60%
0 0 16.8583 34 81.4015 Cuts:25 515 79.29%
0 0 17.2099 35 81.4015 LiftProj:14 543 78.86%
0 0 17.5570 35 81.4015 LiftProj:14 572 78.43%
0 0 17.9454 37 81.4015 LiftProj:14 600 77.95%
0 0 18.3435 35 81.4015 LiftProj:14 630 77.47%
0 0 18.9554 35 81.4015 Cuts:23 656 76.71%
0 0 19.0080 34 81.4015 Cuts:19 672 76.65%
0 0 19.5017 35 81.4015 Cuts:17 698 76.04%
0 0 19.8587 36 81.4015 Cuts:20 723 75.60%
0 0 20.0323 33 81.4015 Cuts:17 745 75.39%
0 0 20.6226 35 81.4015 LiftProj:21 816 74.67%
0 0 21.0915 37 81.4015 Cuts:34 847 74.09%
0 0 21.4214 34 81.4015 LiftProj:17 881 73.68%
0 0 21.5543 36 81.4015 LiftProj:18 904 73.52%
0 0 21.7003 35 81.4015 LiftProj:14 930 73.34%
0 0 21.8266 35 81.4015 LiftProj:15 971 73.19%
0 0 21.8460 35 81.4015 LiftProj:10 981 73.16%
0 0 21.8621 35 81.4015 LiftProj:12 994 73.14%
0 0 21.9228 38 81.4015 LiftProj:14 1013 73.07%
0 0 22.0936 36 81.4015 LiftProj:12 1036 72.86%
0 0 22.2404 35 81.4015 Cuts:20 1062 72.68%
0 0 22.4016 34 81.4015 LiftProj:9 1088 72.48%
0 0 22.5193 34 81.4015 LiftProj:12 1112 72.34%
0 0 22.6746 37 81.4015 LiftProj:15 1134 72.14%
0 0 23.0941 34 81.4015 LiftProj:13 1162 71.63%
0 0 23.3114 37 81.4015 LiftProj:21 1183 71.36%
0 0 23.3558 36 81.4015 LiftProj:12 1193 71.31%
0 0 23.4537 37 81.4015 LiftProj:13 1216 71.19%
0 0 23.5021 37 81.4015 LiftProj:8 1233 71.13%
0 0 23.5528 37 81.4015 LiftProj:16 1247 71.07%
0 0 23.6639 36 81.4015 LiftProj:19 1271 70.93%
0 0 23.7931 37 81.4015 LiftProj:12 1291 70.77%
0 0 23.9855 35 81.4015 LiftProj:14 1322 70.53%
0 0 24.1762 37 81.4015 LiftProj:14 1356 70.30%
0 0 24.1825 38 81.4015 LiftProj:12 1362 70.29%
0 0 24.1825 37 81.4015 LiftProj:8 1364 70.29%
0+ 0 nan nan 70.8931 24.1825 nan 65.89%
0+ 0 nan nan 65.0633 24.1825 nan 62.83%
0+ 0 nan nan 61.9830 24.1825 nan 60.99%
0 2 24.1825 37 61.9830 24.2160 1364 60.93%
CPXPARAM_MIP_Cuts_LiftProj-Gomory-Disjunctive:LiftProj 52
CPXPARAM_MIP_Cuts_LiftProj-Gomory-Disjunctive:Gomory 0
CPXPARAM_MIP_Cuts_LiftProj-Gomory-Disjunctive:Disjunctive 1
1
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 99.1655 0.0000 nan 100.00%
0 0 0.0000 27 99.1655 0.0000 131 100.00%
0+ 0 nan nan 86.2827 0.0000 nan 100.00%
0 0 0.0000 20 86.2827 Cuts:2 135 100.00%
0+ 0 nan nan 77.7223 0.0000 nan 100.00%
0 0 0.0000 23 77.7223 Cuts:24 164 100.00%
0+ 0 nan nan 54.4045 0.0000 nan 100.00%
0 0 0.0000 20 54.4045 Cuts:4 172 100.00%
0 0 0.0000 21 54.4045 Cuts:19 196 100.00%
0+ 0 nan nan 54.2457 0.0000 nan 100.00%
0+ 0 nan nan 46.9763 0.0000 nan 100.00%
0 2 0.0000 20 46.9763 0.0000 196 100.00%
CPXPARAM_MIP_Cuts_LiftProj-Gomory-Disjunctive:LiftProj 0
CPXPARAM_MIP_Cuts_LiftProj-Gomory-Disjunctive:Gomory 0
CPXPARAM_MIP_Cuts_LiftProj-Gomory-Disjunctive:Disjunctive 0
2
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 69.8576 0.0000 nan 100.00%
0 0 0.0000 23 69.8576 0.0000 131 100.00%
