0
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 99.3310 0.0000 nan 100.00%
0 0 24.4170 14 99.3310 24.4170 133 75.42%
0+ 0 nan nan 91.3252 24.4170 nan 73.26%
0 0 32.9732 16 91.3252 Cuts:21 164 63.89%
0+ 0 nan nan 77.3123 32.9732 nan 57.35%
0 0 33.3344 16 77.3123 LiftProj:4 171 56.88%
0 0 35.4859 15 77.3123 LiftProj:14 183 54.10%
0 0 35.9637 15 77.3123 LiftProj:13 193 53.48%
0+ 0 nan nan 77.1520 35.9637 nan 53.39%
0 0 36.8345 16 77.1520 LiftProj:11 202 52.26%
0 0 37.0702 16 77.1520 LiftProj:13 211 51.95%
0+ 0 nan nan 75.5031 37.0702 nan 50.90%
0 0 37.3495 16 75.5031 Cuts:15 219 50.53%
0 0 38.4509 16 75.5031 LiftProj:12 236 49.07%
0 0 38.9760 16 75.5031 LiftProj:18 254 48.38%
0+ 0 nan nan 66.2274 38.9760 nan 41.15%
0 0 40.2302 16 66.2274 LiftProj:14 275 39.25%
0 0 40.6383 16 66.2274 LiftProj:18 290 38.64%
0 0 41.0772 16 66.2274 LiftProj:12 323 37.98%
0 0 41.5551 16 66.2274 LiftProj:18 339 37.25%
0 0 43.0678 17 66.2274 LiftProj:12 371 34.97%
0 0 44.0761 17 66.2274 LiftProj:13 397 33.45%
0+ 0 nan nan 65.2108 44.0761 nan 32.41%
0 0 44.4392 17 65.2108 LiftProj:16 413 31.85%
0+ 0 nan nan 59.5201 44.4392 nan 25.34%
0 0 44.6060 17 59.5201 LiftProj:13 424 25.06%
0 0 46.0904 16 59.5201 LiftProj:17 454 22.56%
0 0 46.5202 17 59.5201 LiftProj:11 474 21.84%
0 0 46.7303 17 59.5201 LiftProj:12 485 21.49%
0 0 46.9243 17 59.5201 LiftProj:15 500 21.16%
0 0 47.1027 17 59.5201 LiftProj:16 513 20.86%
0 0 47.1569 16 59.5201 LiftProj:13 525 20.77%
0 0 47.2417 17 59.5201 LiftProj:15 535 20.63%
0+ 0 nan nan 57.4176 47.2417 nan 17.72%
0 0 47.3559 17 57.4176 LiftProj:12 547 17.52%
0 0 47.4085 17 57.4176 LiftProj:13 556 17.43%
0+ 0 nan nan 57.0532 47.4085 nan 16.90%
0 0 47.4609 16 57.0532 LiftProj:9 566 16.81%
0 0 47.6063 17 57.0532 LiftProj:12 577 16.56%
0 0 47.7061 18 57.0532 LiftProj:8 586 16.38%
0 0 47.7520 18 57.0532 LiftProj:9 591 16.30%
0 0 47.7602 17 57.0532 LiftProj:8 599 16.29%
0 0 47.7725 18 57.0532 LiftProj:8 603 16.27%
