0
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 99.1655 0.0000 nan 100.00%
0 0 33.3849 15 99.1655 33.3849 159 66.33%
0+ 0 nan nan 85.5351 33.3849 nan 60.97%
0 0 33.4363 21 85.5351 LiftProj:7 173 60.91%
0 0 33.4973 24 85.5351 LiftProj:7 184 60.84%
0 0 33.5632 31 85.5351 LiftProj:10 199 60.76%
0 0 33.9224 30 85.5351 LiftProj:17 220 60.34%
0 0 34.0742 30 85.5351 LiftProj:14 232 60.16%
0 0 34.3026 29 85.5351 LiftProj:14 252 59.90%
0 0 34.4027 29 85.5351 LiftProj:17 270 59.78%
0 0 34.5333 27 85.5351 LiftProj:18 289 59.63%
0 0 34.5553 28 85.5351 LiftProj:20 304 59.60%
0 0 34.8397 30 85.5351 LiftProj:18 343 59.27%
0 0 34.9486 27 85.5351 LiftProj:14 363 59.14%
0 0 35.0379 29 85.5351 LiftProj:18 384 59.04%
0 0 35.1663 30 85.5351 LiftProj:15 397 58.89%
0 0 35.2917 29 85.5351 LiftProj:19 419 58.74%
0 0 35.5917 34 85.5351 LiftProj:19 451 58.39%
0 0 35.6528 33 85.5351 LiftProj:13 463 58.32%
0 0 35.7505 34 85.5351 LiftProj:16 482 58.20%
0 0 35.8850 34 85.5351 LiftProj:17 500 58.05%
0 0 35.9798 33 85.5351 LiftProj:17 509 57.94%
0 0 36.0829 32 85.5351 LiftProj:14 527 57.82%
0 0 36.1521 32 85.5351 LiftProj:17 545 57.73%
0 0 36.2083 36 85.5351 LiftProj:16 559 57.67%
0 0 36.2776 36 85.5351 LiftProj:12 580 57.59%
0 0 36.4428 34 85.5351 LiftProj:14 607 57.39%
0 0 36.5247 35 85.5351 LiftProj:15 623 57.30%
0 0 36.6229 33 85.5351 LiftProj:13 642 57.18%
0 0 36.7639 35 85.5351 LiftProj:12 665 57.02%
0 0 36.8512 34 85.5351 LiftProj:15 689 56.92%
0 0 36.9176 34 85.5351 LiftProj:19 700 56.84%
0 0 36.9759 35 85.5351 LiftProj:18 709 56.77%
0 0 37.1161 34 85.5351 LiftProj:13 722 56.61%
0 0 37.1529 36 85.5351 LiftProj:15 728 56.56%
0 0 37.2410 37 85.5351 LiftProj:11 746 56.46%
0 0 37.4037 35 85.5351 LiftProj:13 766 56.27%
0 0 37.4600 38 85.5351 LiftProj:13 780 56.21%
0 0 37.5561 36 85.5351 LiftProj:11 793 56.09%
0 0 37.6064 38 85.5351 LiftProj:12 813 56.03%
0 0 37.6318 37 85.5351 LiftProj:11 829 56.00%
0 0 37.6703 38 85.5351 LiftProj:6 842 55.96%
0 0 37.7012 38 85.5351 LiftProj:8 856 55.92%
0 0 37.7147 37 85.5351 LiftProj:13 875 55.91%
0 0 37.7303 38 85.5351 LiftProj:7 888 55.89%
0+ 0 nan nan 76.9817 37.7303 nan 50.99%
0+ 0 nan nan 76.7641 37.7303 nan 50.85%
0 2 37.7303 38 76.7641 37.8267 888 50.72%
CPXPARAM_MIP_Cuts_LiftProj 44
1
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 99.1655 0.0000 nan 100.00%
0 0 0.0000 28 99.1655 0.0000 115 100.00%
0+ 0 nan nan 78.9783 0.0000 nan 100.00%
0+ 0 nan nan 69.9899 0.0000 nan 100.00%
0+ 0 nan nan 68.9499 0.0000 nan 100.00%
0+ 0 nan nan 37.4130 0.0000 nan 100.00%
0 2 0.0000 22 37.4130 0.0000 115 100.00%
CPXPARAM_MIP_Cuts_LiftProj 0
2
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 136.4723 0.0000 nan 100.00%
0+ 0 nan nan 69.8576 0.0000 nan 100.00%
0 0 24.3849 14 69.8576 24.3849 151 65.09%
0 0 24.3849 18 69.8576 LiftProj:8 165 65.09%
0+ 0 nan nan 62.5858 24.3849 nan 61.04%
0 0 24.6369 23 62.5858 LiftProj:7 178 60.64%
0 0 25.1519 22 62.5858 LiftProj:11 192 59.81%
0 0 25.3685 23 62.5858 LiftProj:10 204 59.47%
0 0 26.1970 21 62.5858 LiftProj:13 225 58.14%
0 0 26.9260 25 62.5858 LiftProj:14 249 56.98%
0 0 27.5507 26 62.5858 LiftProj:14 271 55.98%
0 0 27.7571 24 62.5858 LiftProj:15 287 55.65%
0 0 27.9674 23 62.5858 LiftProj:11 312 55.31%
0 0 28.4415 26 62.5858 LiftProj:11 338 54.56%
0 0 28.7465 25 62.5858 LiftProj:11 358 54.07%
0 0 29.2028 29 62.5858 LiftProj:12 377 53.34%
0 0 29.4217 27 62.5858 LiftProj:13 398 52.99%
0 0 29.9278 30 62.5858 LiftProj:13 424 52.18%
0 0 30.1114 27 62.5858 LiftProj:12 440 51.89%
0 0 30.2833 28 62.5858 LiftProj:11 462 51.61%
