0
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 11004.7490 0.0000 nan 100.00%
0+ 0 nan nan 8602.7702 0.0000 nan 100.00%
0 0 4493.1285 7 8602.7702 4493.1285 50 47.77%
0 0 4672.4815 8 8602.7702 Cuts:5 67 45.69%
0 0 4763.4989 9 8602.7702 Cuts:9 76 44.63%
0 0 4831.1556 9 8602.7702 Cuts:14 96 43.84%
0+ 0 nan nan 6391.6586 4831.1556 nan 24.41%
0 0 4914.1478 9 6391.6586 Cuts:14 117 23.12%
0 0 5012.3718 9 6391.6586 Cuts:13 135 21.58%
0 0 5071.2469 8 6391.6586 LiftProj:9 157 20.66%
0 0 5167.7256 9 6391.6586 Cuts:10 175 19.15%
0+ 0 nan nan 6136.1740 5167.7256 nan 15.78%
0 0 5240.2179 9 6136.1740 Cuts:12 192 14.60%
0 0 5250.5838 9 6136.1740 Cuts:10 203 14.43%
0 0 5276.7286 9 6136.1740 Cuts:18 217 14.01%
0 0 5311.9130 8 6136.1740 LiftProj:14 232 13.43%
0 0 5358.3980 9 6136.1740 LiftProj:8 246 12.68%
0 0 5387.6740 9 6136.1740 LiftProj:9 262 12.20%
0 0 5428.4439 9 6136.1740 LiftProj:12 276 11.53%
0 0 5484.8442 8 6136.1740 LiftProj:10 293 10.61%
0 0 5510.1304 9 6136.1740 LiftProj:4 303 10.20%
0 0 5527.0546 9 6136.1740 LiftProj:9 318 9.93%
0 0 5550.9338 9 6136.1740 LiftProj:7 338 9.54%
0 0 5571.8668 9 6136.1740 LiftProj:6 348 9.20%
0 0 5576.4474 9 6136.1740 LiftProj:6 358 9.12%
0 0 5589.5143 9 6136.1740 LiftProj:10 371 8.91%
0 0 5597.4644 9 6136.1740 LiftProj:11 381 8.78%
0 0 5606.8189 9 6136.1740 LiftProj:7 391 8.63%
0 0 5622.0875 8 6136.1740 LiftProj:7 402 8.38%
0+ 0 nan nan 5965.8269 5622.0875 nan 5.76%
0 0 5629.5310 9 5965.8269 LiftProj:9 420 5.64%
0 0 5631.9721 9 5965.8269 LiftProj:6 427 5.60%
0 0 5633.8047 9 5965.8269 LiftProj:14 436 5.57%
0 0 5634.3572 9 5965.8269 LiftProj:7 442 5.56%
0 0 5642.2245 8 5965.8269 LiftProj:7 455 5.42%
0 0 5652.3608 9 5965.8269 LiftProj:7 468 5.25%
0 0 5660.7362 9 5965.8269 LiftProj:6 481 5.11%
0 0 5663.7008 9 5965.8269 LiftProj:5 492 5.06%
0 0 5665.6562 9 5965.8269 LiftProj:13 495 5.03%
0 0 5674.2879 9 5965.8269 LiftProj:7 502 4.89%
0 0 5678.6912 9 5965.8269 LiftProj:8 509 4.81%
0 0 5680.7783 9 5965.8269 LiftProj:7 514 4.78%
0 0 5695.8823 9 5965.8269 LiftProj:6 526 4.52%
0 0 5702.3184 9 5965.8269 LiftProj:7 535 4.42%
0 0 5707.0171 9 5965.8269 LiftProj:7 544 4.34%
0 0 5714.7455 9 5965.8269 LiftProj:6 554 4.21%
0 0 5727.4010 9 5965.8269 LiftProj:8 561 4.00%
0 0 5733.0806 9 5965.8269 LiftProj:7 568 3.90%
