0
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 360.0000 -360.0000 nan 200.00%
0 0 33.3849 18 360.0000 33.3849 115 90.73%
0+ 0 nan nan 96.7438 33.3849 nan 65.49%
0 0 34.2637 22 96.7438 Cuts:20 142 64.58%
0+ 0 nan nan 78.9648 34.2637 nan 56.61%
0 0 35.6417 20 78.9648 Cuts:29 162 54.86%
0+ 0 nan nan 69.0776 35.6417 nan 48.40%
0 0 36.0093 23 69.0776 Cuts:29 181 47.87%
0 0 36.3493 31 69.0776 Cuts:27 220 47.38%
0 0 36.5440 32 69.0776 Cuts:30 242 47.10%
0 0 37.0044 26 69.0776 Cuts:21 279 46.43%
0 0 37.2596 27 69.0776 Cuts:32 297 46.06%
0 0 37.3270 28 69.0776 Cuts:27 320 45.96%
0 0 37.4727 27 69.0776 LiftProj:23 348 45.75%
0 0 37.5392 29 69.0776 Cuts:26 358 45.66%
0 0 37.6943 32 69.0776 Cuts:22 373 45.43%
0 0 38.0201 32 69.0776 Cuts:22 389 44.96%
0 0 38.1276 31 69.0776 LiftProj:21 399 44.80%
0 0 38.3203 31 69.0776 LiftProj:24 421 44.53%
0 0 38.4031 28 69.0776 Cuts:28 435 44.41%
0 0 38.5191 31 69.0776 LiftProj:20 442 44.24%
0 0 38.9530 28 69.0776 LiftProj:21 469 43.61%
0 0 39.1269 28 69.0776 LiftProj:18 493 43.36%
0 0 39.2258 30 69.0776 LiftProj:25 516 43.21%
0 0 39.3282 30 69.0776 Cuts:26 536 43.07%
0 0 39.3474 32 69.0776 LiftProj:31 546 43.04%
0 0 39.3893 29 69.0776 LiftProj:26 565 42.98%
0 0 39.4008 29 69.0776 Cuts:33 591 42.96%
0 0 39.4878 30 69.0776 LiftProj:30 615 42.84%
0 0 39.7064 27 69.0776 LiftProj:27 632 42.52%
0 0 39.9182 27 69.0776 LiftProj:23 654 42.21%
0 0 39.9510 31 69.0776 LiftProj:22 672 42.16%
0 0 40.0519 30 69.0776 LiftProj:25 689 42.02%
0 0 40.0998 30 69.0776 LiftProj:16 700 41.95%
0 0 40.1181 33 69.0776 LiftProj:18 719 41.92%
0 0 40.1785 31 69.0776 LiftProj:16 734 41.84%
0 0 40.2035 37 69.0776 LiftProj:15 750 41.80%
0 0 40.2823 36 69.0776 LiftProj:11 765 41.69%
0 0 40.3888 35 69.0776 LiftProj:11 780 41.53%
0 0 40.4407 33 69.0776 LiftProj:12 789 41.46%
0 0 40.4489 36 69.0776 LiftProj:26 793 41.44%
0 0 40.4689 37 69.0776 LiftProj:13 802 41.42%
0 0 40.5158 37 69.0776 LiftProj:12 811 41.35%
0 0 40.5971 36 69.0776 LiftProj:8 826 41.23%
0 0 40.6418 36 69.0776 LiftProj:13 837 41.17%
0 0 40.6492 36 69.0776 LiftProj:9 842 41.15%
0+ 0 nan nan 56.0174 40.6492 nan 27.43%
0 2 40.6492 36 56.0174 40.6519 842 27.43%
CPXPARAM_MIP_Cuts_Gomory-LiftProj:Gomory 38
CPXPARAM_MIP_Cuts_Gomory-LiftProj:LiftProj 0
1
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 360.0000 -360.0000 nan 200.00%
0 0 -0.0000 24 360.0000 -0.0000 121 100.00%
0+ 0 nan nan 32.3215 0.0000 nan 100.00%
0 2 0.0000 19 32.3215 0.0000 121 100.00%
CPXPARAM_MIP_Cuts_Gomory-LiftProj:Gomory 0
CPXPARAM_MIP_Cuts_Gomory-LiftProj:LiftProj 0
2
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 450.0000 -450.0000 nan 200.00%
0 0 24.3849 16 450.0000 24.3849 114 94.58%
0+ 0 nan nan 77.4880 24.3849 nan 68.53%
0 0 25.3112 25 77.4880 Cuts:21 151 67.34%
0+ 0 nan nan 62.5858 25.3112 nan 59.56%
0 0 25.6681 26 62.5858 Cuts:16 161 58.99%
0+ 0 nan nan 62.3744 25.6681 nan 58.85%
0 0 26.0636 23 62.3744 Cuts:20 176 58.21%
0+ 0 nan nan 61.8311 26.0636 nan 57.85%
0 0 26.2714 25 61.8311 Cuts:16 186 57.51%
0 0 26.5476 26 61.8311 Cuts:14 200 57.06%
0 0 26.6792 29 61.8311 Cuts:19 209 56.85%
0 0 27.1285 28 61.8311 LiftProj:15 232 56.12%
0 0 27.2510 23 61.8311 Cuts:16 246 55.93%
0 0 27.3271 25 61.8311 LiftProj:19 256 55.80%
0 0 27.5306 30 61.8311 Cuts:22 269 55.47%
0 0 27.7513 32 61.8311 Cuts:19 287 55.12%
0 0 28.1552 32 61.8311 LiftProj:10 302 54.46%
0 0 28.6991 32 61.8311 LiftProj:16 315 53.58%
0 0 29.5861 31 61.8311 LiftProj:15 331 52.15%
0 0 30.1480 31 61.8311 LiftProj:16 352 51.24%
0 0 30.3745 32 61.8311 LiftProj:14 361 50.88%
0 0 30.6422 32 61.8311 Cuts:15 375 50.44%
0 0 30.8767 32 61.8311 LiftProj:12 389 50.06%
0 0 31.0583 33 61.8311 LiftProj:12 410 49.77%
0 0 31.2906 31 61.8311 LiftProj:12 432 49.39%
0 0 31.3692 32 61.8311 LiftProj:8 442 49.27%
0 0 31.5144 31 61.8311 LiftProj:8 454 49.03%
0 0 31.5338 31 61.8311 LiftProj:13 462 49.00%
0 0 31.5569 33 61.8311 LiftProj:15 477 48.96%
0 0 31.5926 32 61.8311 LiftProj:23 486 48.90%
0 0 31.6683 33 61.8311 LiftProj:9 501 48.78%
0 0 31.7588 31 61.8311 LiftProj:17 515 48.64%
0 0 31.9102 33 61.8311 LiftProj:14 525 48.39%
0 0 32.0201 33 61.8311 LiftProj:13 538 48.21%
0 0 32.3008 33 61.8311 LiftProj:11 551 47.76%
0 0 32.4533 33 61.8311 LiftProj:7 565 47.51%
0 0 32.4889 33 61.8311 LiftProj:10 577 47.46%
0 0 32.5577 33 61.8311 LiftProj:6 589 47.34%
0 0 32.5661 33 61.8311 LiftProj:7 600 47.33%
0 0 32.6229 31 61.8311 LiftProj:7 614 47.24%
0 0 32.6261 31 61.8311 LiftProj:8 624 47.23%
0+ 0 nan nan 46.5296 32.6261 nan 29.88%
0 2 32.6261 31 46.5296 32.6281 624 29.88%
CPXPARAM_MIP_Cuts_Gomory-LiftProj:Gomory 35
CPXPARAM_MIP_Cuts_Gomory-LiftProj:LiftProj 0
3
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 330.0000 -330.0000 nan 200.00%
0 0 -0.0000 24 330.0000 -0.0000 119 100.00%
0+ 0 nan nan 55.2731 0.0000 nan 100.00%
0 0 0.0000 19 55.2731 Cuts:4 138 100.00%
