0
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 360.0000 -360.0000 nan 200.00%
0 0 33.3849 18 360.0000 33.3849 115 90.73%
0+ 0 nan nan 96.7438 33.3849 nan 65.49%
0 0 33.4691 20 96.7438 LiftProj:11 138 65.40%
0 0 33.8344 32 96.7438 LiftProj:12 166 65.03%
0 0 34.1583 33 96.7438 LiftProj:17 181 64.69%
0 0 34.3924 34 96.7438 LiftProj:19 197 64.45%
0 0 34.5766 35 96.7438 LiftProj:13 217 64.26%
0 0 34.7437 37 96.7438 LiftProj:22 225 64.09%
0 0 35.0205 37 96.7438 LiftProj:19 241 63.80%
0 0 35.3160 36 96.7438 LiftProj:15 259 63.50%
0 0 35.4876 36 96.7438 LiftProj:15 274 63.32%
0 0 35.6542 38 96.7438 LiftProj:19 286 63.15%
0 0 35.7263 38 96.7438 LiftProj:19 294 63.07%
0 0 35.9352 37 96.7438 LiftProj:17 315 62.86%
0 0 36.0446 39 96.7438 LiftProj:15 330 62.74%
0 0 36.4135 36 96.7438 LiftProj:16 350 62.36%
0 0 36.6393 38 96.7438 LiftProj:19 366 62.13%
0 0 36.7993 38 96.7438 LiftProj:14 380 61.96%
0 0 36.9314 38 96.7438 LiftProj:11 395 61.83%
0+ 0 nan nan 81.5855 36.9314 nan 54.73%
0 0 36.9825 39 81.5855 LiftProj:11 401 54.67%
0 0 37.0645 39 81.5855 LiftProj:11 415 54.57%
0 0 37.1929 39 81.5855 LiftProj:20 433 54.41%
0 0 37.3298 38 81.5855 LiftProj:12 446 54.24%
0 0 37.3709 39 81.5855 LiftProj:17 453 54.19%
0 0 37.3958 39 81.5855 LiftProj:13 459 54.16%
0 0 37.4168 39 81.5855 LiftProj:18 469 54.14%
0 0 37.5093 37 81.5855 LiftProj:11 482 54.02%
0 0 37.5213 38 81.5855 LiftProj:13 490 54.01%
0 0 37.5664 38 81.5855 LiftProj:21 498 53.95%
0 0 37.6079 38 81.5855 LiftProj:11 508 53.90%
0 0 37.6308 38 81.5855 LiftProj:8 519 53.88%
0 0 37.6475 38 81.5855 LiftProj:7 529 53.86%
0 0 37.6606 38 81.5855 LiftProj:5 536 53.84%
0 0 37.6684 38 81.5855 LiftProj:10 541 53.83%
0 0 37.6849 38 81.5855 LiftProj:7 552 53.81%
0 0 37.6927 38 81.5855 LiftProj:9 558 53.80%
0+ 0 nan nan 78.4608 37.6927 nan 51.96%
0+ 0 nan nan 73.4779 37.6927 nan 48.70%
0 2 37.6927 38 73.4779 37.7731 558 48.59%
CPXPARAM_MIP_Cuts_LiftProj 41
1
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 360.0000 -360.0000 nan 200.00%
0 0 -0.0000 24 360.0000 -0.0000 121 100.00%
0+ 0 nan nan 32.3215 0.0000 nan 100.00%
0 2 0.0000 19 32.3215 0.0000 121 100.00%
CPXPARAM_MIP_Cuts_LiftProj 0
2
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 450.0000 -450.0000 nan 200.00%
0 0 24.3849 16 450.0000 24.3849 114 94.58%
0+ 0 nan nan 77.4880 24.3849 nan 68.53%
0 0 24.6008 23 77.4880 LiftProj:8 135 68.25%
0+ 0 nan nan 67.7323 24.6008 nan 63.68%
0 0 25.1864 25 67.7323 LiftProj:10 146 62.81%
0 0 25.7401 24 67.7323 LiftProj:13 164 62.00%
0 0 26.0269 27 67.7323 LiftProj:10 170 61.57%
0 0 26.4849 29 67.7323 LiftProj:13 182 60.90%
0 0 26.7702 29 67.7323 LiftProj:12 192 60.48%
0 0 27.0840 30 67.7323 LiftProj:17 204 60.01%
0 0 27.7018 28 67.7323 LiftProj:13 218 59.10%
0 0 27.8567 30 67.7323 LiftProj:14 231 58.87%
0 0 28.1604 31 67.7323 LiftProj:13 242 58.42%
0 0 28.7990 33 67.7323 LiftProj:13 261 57.48%
0 0 29.0510 29 67.7323 LiftProj:10 273 57.11%
0 0 29.2428 31 67.7323 LiftProj:16 285 56.83%
0 0 29.6239 30 67.7323 LiftProj:13 302 56.26%
0 0 29.9550 30 67.7323 LiftProj:17 316 55.77%
0 0 30.1262 31 67.7323 LiftProj:14 331 55.52%
0 0 30.2494 31 67.7323 LiftProj:15 346 55.34%
0 0 30.5529 32 67.7323 LiftProj:10 362 54.89%
0 0 30.7187 33 67.7323 LiftProj:13 376 54.65%
0 0 31.0218 33 67.7323 LiftProj:11 398 54.20%
0 0 31.1799 31 67.7323 LiftProj:16 416 53.97%
0 0 31.2721 32 67.7323 LiftProj:12 434 53.83%
0 0 31.4667 33 67.7323 LiftProj:16 449 53.54%
0 0 31.6288 33 67.7323 LiftProj:17 464 53.30%
0 0 31.9903 31 67.7323 LiftProj:15 489 52.77%
0 0 32.0374 33 67.7323 LiftProj:15 501 52.70%
0 0 32.2201 30 67.7323 LiftProj:10 523 52.43%
0 0 32.3834 33 67.7323 LiftProj:13 543 52.19%
0 0 32.4267 33 67.7323 LiftProj:9 555 52.13%
0 0 32.5452 33 67.7323 LiftProj:12 573 51.95%
0 0 32.6054 32 67.7323 LiftProj:11 577 51.86%
0 0 32.6190 32 67.7323 LiftProj:13 586 51.84%
0+ 0 nan nan 61.8311 32.6190 nan 47.25%
0 0 32.6247 33 61.8311 LiftProj:13 592 47.24%
0 0 32.7441 32 61.8311 LiftProj:10 609 47.04%
0 0 32.7505 32 61.8311 LiftProj:6 614 47.03%
0+ 0 nan nan 46.9549 32.7505 nan 30.25%
0 2 32.7505 32 46.9549 32.7512 614 30.25%
CPXPARAM_MIP_Cuts_LiftProj 37
3
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 330.0000 -330.0000 nan 200.00%
0 0 -0.0000 24 330.0000 -0.0000 119 100.00%
0+ 0 nan nan 55.2731 0.0000 nan 100.00%
0 0 0.0000 19 55.2731 LiftProj:2 127 100.00%
0 0 0.0000 21 55.2731 LiftProj:9 161 100.00%
0+ 0 nan nan 48.8645 0.0000 nan 100.00%
0 0 0.0000 20 48.8645 LiftProj:7 164 100.00%
0+ 0 nan nan 45.7148 0.0000 nan 100.00%
0+ 0 nan nan 8.7439 0.0000 nan 100.00%
0+ 0 nan nan 7.2109 0.0000 nan 100.00%
0 2 0.0000 14 7.2109 0.0000 164 100.00%
CPXPARAM_MIP_Cuts_LiftProj 0
4
Node Left Objective IInf Best_Integer Best_Bound ItCnt Gap
0+ 0 nan nan 360.0000 -360.0000 nan 200.00%
0 0 43.8454 15 360.0000 43.8454 120 87.82%
0+ 0 nan nan 75.9975 43.8454 nan 42.31%
0 0 43.8454 16 75.9975 LiftProj:3 142 42.31%
